;price;brand;model;year;mileage;state;color_simple;condition_simple
66;21100.0;jeep;cherokee;2019;28649.0;north carolina;silver;2 days left
69;19300.0;chrysler;300;2019;34801.0;south carolina;gray;Less than one day left
71;15800.0;jeep;compass;2019;35595.0;north carolina;gray;2 days left
72;29400.0;bmw;x3;2017;23765.0;tennessee;black;Less than one day left
74;19400.0;chrysler;300;2019;33135.0;south carolina;gray;Less than one day left
76;15900.0;jeep;compass;2019;34502.0;north carolina;red;2 days left
79;18300.0;chrysler;300;2019;41792.0;south carolina;gray;Less than one day left
81;17900.0;jeep;compass;2019;32501.0;north carolina;red;2 days left
82;18300.0;chevrolet;camaro;2017;28395.0;florida;black;Less than one day left
86;18000.0;jeep;compass;2019;29245.0;north carolina;gray;2 days left
87;14900.0;chevrolet;equinox;2017;12783.0;florida;silver;Less than one day left
94;39800.0;dodge;challenger;2015;3641.0;pennsylvania;white;2 days left
95;53500.0;bmw;m;2017;29355.0;michigan;black;2 days left
98;26502.0;chevrolet;colorado;2017;24993.0;michigan;black;Less than one day left
99;5990.0;ford;mpv;2017;44929.0;texas;black;2 days left
100;13600.0;ford;focus;2018;16971.0;south carolina;black;Less than one day left
102;10780.0;ford;mpv;2017;40455.0;texas;white;2 days left
103;13800.0;ford;focus;2018;23164.0;south carolina;white;Less than one day left
105;7070.0;ford;mpv;2017;45191.0;texas;white;2 days left
106;8700.0;ford;focus;2018;21405.0;south carolina;white;Less than one day left
107;18003.0;chevrolet;malibu;2017;19117.0;michigan;;Less than one day left
109;23100.0;dodge;durango;2018;49496.0;south carolina;white;Less than one day left
111;7000.0;ford;mpv;2017;29882.0;texas;white;2 days left
112;17000.0;ford;escape;2018;34819.0;south carolina;gold;Less than one day left
113;34002.0;chevrolet;1500;2017;31923.0;michigan;white;2 days left
114;6980.0;ford;mpv;2017;29168.0;texas;gray;2 days left
115;25000.0;dodge;charger;2018;28307.0;michigan;silver;Less than one day left
116;20802.0;chevrolet;colorado;2017;33791.0;michigan;turquoise;2 days left
118;26500.0;chrysler;pacifica;2017;18375.0;michigan;gray;Less than one day left
119;24802.0;chevrolet;colorado;2017;14158.0;michigan;gray;2 days left
120;7070.0;ford;mpv;2017;30318.0;texas;black;2 days left
123;23500.0;ford;explorer;2017;57611.0;south carolina;black;Less than one day left
124;23505.0;chevrolet;colorado;2017;47357.0;michigan;black;Less than one day left
126;32100.0;ford;f-150;2017;24521.0;south carolina;gray;Less than one day left
127;53000.0;chevrolet;3500;2018;16105.0;washington;black;Less than one day left
128;6830.0;ford;mpv;2017;35888.0;texas;gold;2 days left
129;11900.0;dodge;caravan;2017;59537.0;south carolina;gray;Less than one day left
130;26414.0;chevrolet;1500;2017;55222.0;michigan;black;Less than one day left
131;4160.0;dodge;mpv;2018;32870.0;florida;gray;Less than one day left
133;5690.0;dodge;mpv;2018;47085.0;florida;silver;Less than one day left
134;25900.0;chrysler;van;2017;32224.0;south carolina;silver;Less than one day left
135;24005.0;chevrolet;1500;2017;51293.0;michigan;beige;Less than one day left
136;5090.0;dodge;mpv;2018;42989.0;florida;gray;Less than one day left
137;19500.0;chrysler;300;2017;31311.0;arizona;gray;Less than one day left
138;32012.0;chevrolet;1500;2017;46091.0;michigan;white;2 days left
139;6800.0;dodge;dart;2016;49033.0;michigan;black;2 days left
140;4260.0;dodge;mpv;2018;33957.0;florida;gray;Less than one day left
141;;dodge;van;2008;177948.0;utah;orange;2 days left
142;31802.0;chevrolet;2500;2017;19845.0;michigan;silver;Less than one day left
143;7210.0;dodge;doors;2018;38910.0;florida;black;Less than one day left
145;28402.0;chevrolet;1500;2017;31234.0;michigan;black;2 days left
146;6800.0;dodge;doors;2018;36767.0;florida;gray;Less than one day left
147;33300.0;cadillac;esv;2015;57932.0;washington;gray;Less than one day left
148;10780.0;dodge;mpv;2018;19420.0;florida;white;Less than one day left
149;6700.0;ford;cutaway;2014;204155.0;pennsylvania;beige;3 days left
150;20000.0;chevrolet;1500;2016;93493.0;washington;white;Less than one day left
151;6440.0;chrysler;doors;2018;20942.0;florida;gray;Less than one day left
154;4040.0;dodge;mpv;2018;50765.0;florida;red;Less than one day left
155;22300.0;ford;explorer;2016;62774.0;south carolina;black;Less than one day left
157;4290.0;dodge;mpv;2018;39029.0;florida;white;Less than one day left
158;22800.0;ford;el;2016;72885.0;south carolina;silver;Less than one day left
160;4160.0;dodge;mpv;2018;6743.0;florida;gray;Less than one day left
161;18500.0;ford;edge;2016;33514.0;south carolina;white;Less than one day left
162;39000.0;bmw;series;2016;39917.0;michigan;black;2 days left
163;6060.0;dodge;doors;2018;32504.0;florida;black;Less than one day left
165;40000.0;bmw;series;2016;31727.0;michigan;gray;2 days left
166;6140.0;dodge;doors;2018;52966.0;florida;silver;Less than one day left
167;21000.0;ford;flex;2016;24157.0;south carolina;gray;Less than one day left
169;6760.0;dodge;doors;2018;35461.0;florida;white;Less than one day left
171;39000.0;bmw;series;2016;33110.0;michigan;black;2 days left
172;5470.0;dodge;mpv;2018;39721.0;florida;black;Less than one day left
174;24502.0;chevrolet;1500;2016;33624.0;michigan;black;Less than one day left
181;7320.0;ford;mpv;2017;55618.0;texas;white;2 days left
182;3800.0;chevrolet;van;2009;261648.0;michigan;white;2 days left
185;1400.0;dodge;pk;2002;185460.0;michigan;black;2 days left
186;18402.0;cadillac;srx;2016;26667.0;michigan;gray;2 days left
189;24503.0;chevrolet;colorado;2016;18006.0;michigan;white;Less than one day left
192;21003.0;chevrolet;1500;2016;44116.0;michigan;silver;Less than one day left
196;;ford;mpv;2017;76858.0;texas;white;2 days left
197;15700.0;ford;cab;2011;309564.0;south carolina;white;Less than one day left
199;3740.0;ford;wagon;2017;90618.0;texas;white;2 days left
200;5000.0;dodge;pickup;2001;109360.0;georgia;white;Less than one day left
202;3160.0;ford;doors;2017;31563.0;texas;gray;2 days left
203;8600.0;dodge;pickup;2005;219823.0;south carolina;gray;Less than one day left
204;6000.0;chevrolet;malibu;2018;42090.0;texas;gray;Less than one day left
206;25.0;chevrolet;vehicl;2020;7232.0;kentucky;black;3 days left
207;13200.0;buick;encore;2017;60171.0;texas;black;Less than one day left
208;4410.0;ford;wagon;2017;209915.0;texas;white;2 days left
210;22500.0;chevrolet;camaro;2020;13826.0;georgia;green;3 days left
211;7420.0;ford;mpv;2017;55854.0;texas;white;2 days left
213;15500.0;chevrolet;trax;2020;16545.0;georgia;white;3 days left
216;45500.0;chevrolet;tahoe;2020;13303.0;georgia;white;3 days left
219;45500.0;chevrolet;tahoe;2020;13679.0;georgia;gray;3 days left
220;4130.0;ford;doors;2017;42426.0;texas;gray;2 days left
222;16300.0;chevrolet;trax;2020;18221.0;georgia;white;3 days left
223;4530.0;ford;mpv;2017;41455.0;texas;white;2 days left
225;45500.0;chevrolet;tahoe;2020;13885.0;georgia;white;3 days left
229;4080.0;ford;doors;2017;61027.0;texas;black;2 days left
230;5700.0;ford;van;2014;178703.0;florida;white;Less than one day left
231;10200.0;chevrolet;3500;2014;173469.0;texas;white;Less than one day left
237;43500.0;chevrolet;2500;2018;57604.0;georgia;white;6 days left
238;4610.0;dodge;van;2016;87229.0;texas;silver;2 days left
240;38500.0;chevrolet;suburban;2018;11135.0;georgia;silver;3 days left
241;6810.0;ford;mpv;2016;66781.0;texas;silver;2 days left
242;2900.0;ford;cargo;2011;190994.0;florida;white;Less than one day left
243;43500.0;chevrolet;2500;2018;56007.0;georgia;white;6 days left
244;4450.0;ford;mpv;2016;32486.0;texas;white;2 days left
246;16500.0;chevrolet;equinox;2018;18020.0;georgia;silver;3 days left
247;4240.0;dodge;mpv;2016;83262.0;texas;white;2 days left
248;26500.0;ford;pickup;2008;62015.0;pennsylvania;white;1 days left
249;13700.0;chevrolet;equinox;2017;36421.0;georgia;silver;3 days left
251;8000.0;ford;chassis;2008;132379.0;florida;white;2 days left
252;14200.0;chevrolet;equinox;2017;28013.0;georgia;silver;3 days left
253;7040.0;ford;mpv;2016;33291.0;texas;silver;2 days left
254;4700.0;ford;chassis;2005;225236.0;florida;;Less than one day left
256;4880.0;ford;mpv;2016;36876.0;texas;silver;2 days left
257;14500.0;dodge;pickup;2006;111782.0;pennsylvania;silver;3 days left
261;33000.0;chevrolet;1500;2018;52521.0;ontario;white;10 days left
263;900.0;ford;van;2003;142027.0;florida;white;Less than one day left
265;19500.0;ford;drw;2011;76897.0;pennsylvania;white;2 days left
266;17100.0;chevrolet;malibu;2019;15780.0;washington;white;2 days left
268;10300.0;ford;fiesta;2019;18937.0;missouri;black;4 days left
269;22600.0;chevrolet;van;2019;9706.0;washington;white;2 days left
270;10480.0;ford;doors;2016;57289.0;texas;gray;2 days left
271;10300.0;ford;fiesta;2019;19956.0;missouri;silver;4 days left
272;22700.0;chevrolet;van;2019;6075.0;washington;white;2 days left
274;10300.0;ford;fiesta;2019;22881.0;missouri;gray;4 days left
277;67000.0;dodge;challenger;2019;10944.0;ohio;black;Less than one day left
278;18900.0;chevrolet;impala;2019;27601.0;texas;white;Less than one day left
279;12560.0;ford;doors;2019;15958.0;florida;white;Less than one day left
280;33000.0;dodge;durango;2019;32251.0;ohio;white;Less than one day left
281;18300.0;chevrolet;impala;2019;25809.0;texas;black;Less than one day left
282;11760.0;ford;cab;2017;30553.0;texas;white;2 days left
283;31700.0;dodge;durango;2019;26549.0;ohio;red;Less than one day left
286;7340.0;ford;doors;2019;15854.0;florida;gray;Less than one day left
289;6530.0;jeep;mpv;2019;10185.0;georgia;black;Less than one day left
291;12700.0;kia;soul;2019;23514.0;california;silver;10 days left
292;13800.0;kia;sorento;2017;86959.0;north carolina;gray;3 days left
293;;chevrolet;pickup;1998;258631.0;texas;gray;Less than one day left
295;7400.0;ford;doors;2019;16482.0;florida;gray;Less than one day left
296;9800.0;hyundai;elantra;2017;35687.0;connecticut;red;Less than one day left
298;4400.0;jeep;mpv;2019;17911.0;georgia;green;Less than one day left
299;10330.0;infiniti;mpv;2019;21278.0;florida;black;Less than one day left
302;720.0;ford;wagon;2006;26914.0;florida;;Less than one day left
306;9190.0;gmc;mpv;2017;41961.0;virginia;black;Less than one day left
307;10900.0;jeep;mpv;2019;13273.0;michigan;red;2 days left
308;10400.0;infiniti;mpv;2019;31713.0;florida;black;Less than one day left
311;7320.0;chevrolet;pickup;2008;325611.0;florida;silver;Less than one day left
312;22809.0;ford;f-150;2017;50732.0;michigan;black;Less than one day left
313;;ford;van;1998;186855.0;california;black;Less than one day left
315;5520.0;gmc;mpv;2017;52904.0;virginia;silver;Less than one day left
316;10900.0;jeep;mpv;2019;14195.0;michigan;orange;2 days left
317;6330.0;jeep;mpv;2019;43965.0;florida;red;Less than one day left
319;25.0;chevrolet;pickup;2010;149189.0;colorado;white;Less than one day left
322;;ford;chassis;1994;;california;green;Less than one day left
324;5520.0;gmc;mpv;2017;35821.0;virginia;silver;Less than one day left
325;4050.0;heartland;pioneer;2018;1.0;pennsylvania;gray;More than one week left
326;14810.0;infiniti;mpv;2019;32611.0;florida;white;Less than one day left
328;2960.0;chrysler;van;2008;164048.0;florida;red;Less than one day left
332;6270.0;gmc;mpv;2017;70443.0;virginia;black;Less than one day left
333;1880.0;heartland;trail;2012;1.0;pennsylvania;white;More than one week left
334;10050.0;infiniti;mpv;2019;18229.0;florida;gray;Less than one day left
336;26900.0;chevrolet;traverse;2018;42941.0;missouri;black;Less than one day left
341;5600.0;gmc;mpv;2017;59808.0;virginia;black;Less than one day left
342;6680.0;heartland;country;2011;1.0;pennsylvania;gray;More than one week left
343;10120.0;infiniti;mpv;2019;20681.0;florida;white;Less than one day left
348;5630.0;gmc;mpv;2017;27195.0;virginia;black;Less than one day left
349;;heartland;sundance;2009;1.0;pennsylvania;white;More than one week left
350;2800.0;jaguar;doors;2019;20849.0;florida;black;Less than one day left
353;18712.0;ford;f-150;2017;67347.0;michigan;black;Less than one day left
354;;ford;pickup;2009;180364.0;tennessee;black;2 days left
356;6300.0;gmc;mpv;2017;117400.0;virginia;black;Less than one day left
357;2220.0;heartland;country;2010;1.0;pennsylvania;white;More than one week left
358;6930.0;jeep;mpv;2019;47798.0;florida;red;Less than one day left
362;25.0;ford;pickup;1994;206162.0;georgia;white;2 days left
363;950.0;ford;pk;2001;229886.0;illinois;red;Less than one day left
364;9270.0;gmc;mpv;2017;19490.0;virginia;gray;Less than one day left
365;11380.0;jeep;mpv;2019;12038.0;michigan;black;2 days left
366;5350.0;hyundai;mpv;2019;43536.0;florida;black;Less than one day left
372;9190.0;gmc;mpv;2017;31394.0;virginia;gray;Less than one day left
373;10330.0;infiniti;mpv;2019;25933.0;florida;gray;Less than one day left
379;17200.0;honda;van;2016;72527.0;new jersey;gray;Less than one day left
382;13080.0;infiniti;mpv;2019;17243.0;florida;gray;Less than one day left
387;4600.0;ford;pickup;2006;240740.0;mississippi;white;More than one week left
388;4950.0;honda;mpv;2016;71404.0;virginia;black;Less than one day left
389;3760.0;hyundai;doors;2019;30382.0;florida;silver;Less than one day left
391;;cadillac;coupe;2000;105169.0;virginia;white;More than one week left
399;61200.0;bmw;series;2020;7509.0;california;black;More than one week left
401;13500.0;bmw;series;2014;33542.0;new jersey;black;2 days left
406;8160.0;honda;van;2015;109027.0;virginia;gray;2 days left
411;1825.0;bmw;coupe;2008;77984.0;georgia;white;2 days left
412;39800.0;bmw;series;2017;23177.0;california;black;Less than one day left
414;58500.0;ford;srw;2019;21527.0;washington;black;Less than one day left
417;5998.0;hyundai;doors;2014;122975.0;new york;black;5 days left
418;3700.0;honda;doors;2014;162824.0;new york;black;2 days left
419;;kia;wagon;2008;148463.0;indiana;silver;Less than one day left
423;15050.0;infiniti;mpv;2019;26786.0;texas;white;Less than one day left
424;3960.0;hyundai;doors;2019;35623.0;ohio;red;2 days left
425;36300.0;lincoln;nautilus;2019;14541.0;california;black;1 days left
426;55600.0;lexus;gx;2020;8186.0;florida;silver;2 days left
427;2630.0;nissan;doors;2018;36739.0;california;gray;Less than one day left
428;5690.0;nissan;mpv;2017;42616.0;new jersey;black;Less than one day left
429;19500.0;audi;q5;2017;65833.0;texas;black;3 days left
430;450.0;chevrolet;coupe;2008;123515.0;minnesota;yellow;2 days left
433;33001.0;ford;f-150;2017;35905.0;michigan;gray;2 days left
437;14750.0;infiniti;mpv;2019;11047.0;texas;black;Less than one day left
438;4010.0;hyundai;doors;2019;31233.0;ohio;silver;2 days left
439;40000.0;mercedes-benz;gle;2019;19427.0;california;white;1 days left
440;13000.0;kia;sportage;2017;71991.0;new jersey;silver;Less than one day left
441;3550.0;nissan;doors;2018;29043.0;california;black;Less than one day left
442;3040.0;nissan;doors;2017;36064.0;new jersey;gray;Less than one day left
443;;chevrolet;coupe;2008;270080.0;illinois;yellow;Less than one day left
444;36400.0;audi;5;2015;47213.0;wisconsin;black;2 days left
447;75.0;ford;pickup;2001;295780.0;arkansas;gold;Less than one day left
449;14750.0;infiniti;mpv;2019;11396.0;texas;white;Less than one day left
450;4690.0;hyundai;mpv;2019;33785.0;ohio;silver;2 days left
451;23000.0;land;sport;2018;20103.0;california;black;1 days left
452;46900.0;land;discovery;2018;32387.0;florida;black;2 days left
453;10740.0;mercedes-benz;doors;2018;48140.0;california;white;Less than one day left
454;3160.0;nissan;doors;2017;34861.0;new jersey;gray;Less than one day left
457;27102.0;ford;f-150;2017;34165.0;michigan;red;2 days left
460;15010.0;infiniti;mpv;2019;11394.0;texas;beige;Less than one day left
461;5800.0;jeep;mpv;2019;30546.0;ohio;silver;2 days left
462;23200.0;land;sport;2018;23745.0;california;black;1 days left
464;3390.0;nissan;doors;2018;38349.0;california;gray;Less than one day left
465;3140.0;nissan;doors;2017;30142.0;new jersey;white;Less than one day left
468;10440.0;chevrolet;cab;2011;92476.0;florida;black;Less than one day left
469;23911.0;ford;f-150;2017;25698.0;michigan;black;Less than one day left
470;25.0;ford;pk;2010;155242.0;oklahoma;gray;Less than one day left
471;21400.0;gmc;acadia;2018;54332.0;new jersey;gray;Less than one day left
472;5380.0;gmc;cab;2011;119215.0;utah;white;Less than one day left
473;11000.0;jeep;mpv;2019;8930.0;michigan;red;2 days left
474;4950.0;jeep;mpv;2019;46985.0;ohio;silver;2 days left
475;22500.0;land;sport;2018;30220.0;california;black;2 days left
476;30300.0;maserati;ghibli;2017;37021.0;florida;black;2 days left
477;2630.0;nissan;doors;2018;43152.0;california;white;Less than one day left
478;3140.0;nissan;doors;2017;34318.0;new jersey;silver;Less than one day left
483;48500.0;gmc;1500;2019;15777.0;pennsylvania;black;1 days left
484;3330.0;gmc;mpv;2009;87448.0;utah;white;Less than one day left
485;11200.0;jeep;mpv;2019;8395.0;michigan;yellow;2 days left
486;4730.0;hyundai;mpv;2019;30121.0;ohio;red;2 days left
487;24900.0;mercedes-benz;glc;2018;33687.0;california;white;1 days left
488;29400.0;mercedes-benz;e-class;2017;37561.0;florida;black;2 days left
489;8350.0;nissan;cab;2018;32256.0;california;gray;Less than one day left
490;475.0;peterbilt;truck;2012;902041.0;florida;gold;Less than one day left
491;3210.0;nissan;doors;2017;25255.0;new jersey;black;Less than one day left
492;25.0;chevrolet;van;2006;165327.0;arkansas;white;Less than one day left
493;4200.0;chevrolet;cutaway;2006;118009.0;wisconsin;white;Less than one day left
494;8430.0;chevrolet;utility;2011;114547.0;florida;black;Less than one day left
495;25503.0;ford;f-150;2017;18647.0;michigan;black;Less than one day left
496;;ford;pickup;1996;252588.0;oklahoma;red;Less than one day left
497;26000.0;gmc;limited;2019;16669.0;pennsylvania;black;1 days left
498;3900.0;honda;doors;2017;47970.0;virginia;black;2 days left
499;11200.0;jeep;mpv;2019;12905.0;michigan;gray;2 days left
500;8610.0;jeep;mpv;2019;22123.0;ohio;silver;2 days left
501;28000.0;mercedes-benz;gle;2018;40780.0;california;white;1 days left
502;84900.0;mercedes-benz;sl-class;2017;25302.0;florida;silver;2 days left
503;10840.0;lexus;mpv;2017;36596.0;california;black;Less than one day left
504;100.0;peterbilt;truck;2012;;florida;black;Less than one day left
511;5630.0;gmc;mpv;2017;58366.0;virginia;black;2 days left
512;11100.0;jeep;mpv;2019;11229.0;michigan;white;2 days left
513;4650.0;hyundai;mpv;2019;27492.0;ohio;white;2 days left
515;3820.0;nissan;mpv;2016;41654.0;california;black;Less than one day left
516;;peterbilt;truck;2009;982486.0;florida;black;Less than one day left
517;2900.0;nissan;doors;2017;31954.0;new jersey;gray;Less than one day left
519;5100.0;chevrolet;pickup;2004;173321.0;wisconsin;gray;Less than one day left
521;29502.0;ford;f-150;2017;14053.0;michigan;red;2 days left
524;10910.0;jeep;mpv;2019;12253.0;michigan;red;2 days left
525;3440.0;hyundai;doors;2019;34895.0;ohio;gray;2 days left
526;16000.0;mazda;cx-3;2016;47753.0;florida;gray;2 days left
528;1025.0;peterbilt;truck;2010;1017936.0;georgia;;Less than one day left
529;3020.0;nissan;doors;2017;33599.0;new jersey;white;Less than one day left
531;2000.0;chevrolet;pickup;2003;507985.0;wisconsin;red;Less than one day left
535;5420.0;honda;doors;2017;16702.0;virginia;black;2 days left
536;11100.0;jeep;mpv;2019;11449.0;michigan;yellow;2 days left
537;4750.0;hyundai;mpv;2019;25847.0;ohio;gray;2 days left
540;3160.0;nissan;doors;2017;40306.0;new jersey;silver;Less than one day left
541;25.0;chevrolet;pickup;2010;149189.0;colorado;white;Less than one day left
543;6470.0;chevrolet;coupe;2010;69622.0;florida;yellow;Less than one day left
546;32500.0;gmc;2500hd;2018;14856.0;pennsylvania;black;1 days left
547;6900.0;honda;mpv;2017;44129.0;minnesota;white;Less than one day left
548;11030.0;jeep;mpv;2019;10861.0;michigan;yellow;2 days left
552;3210.0;nissan;doors;2017;35251.0;new jersey;gray;Less than one day left
554;27705.0;ford;f-150;2019;15630.0;michigan;gray;Less than one day left
556;28714.0;ford;f-150;2019;14786.0;michigan;white;Less than one day left
558;27502.0;ford;f-150;2019;16146.0;michigan;gray;Less than one day left
560;29314.0;ford;f-150;2019;15265.0;michigan;gray;Less than one day left
562;27002.0;ford;f-150;2019;16059.0;michigan;gray;Less than one day left
564;28214.0;ford;f-150;2019;15569.0;michigan;white;Less than one day left
566;29900.0;ford;f-150;2019;17488.0;michigan;white;2 days left
568;27202.0;ford;f-150;2019;18550.0;michigan;red;Less than one day left
569;13500.0;chevrolet;impala;2018;53194.0;new jersey;white;Less than one day left
570;27705.0;ford;f-150;2019;17644.0;michigan;silver;Less than one day left
571;14700.0;chevrolet;van;2016;34454.0;pennsylvania;white;2 days left
572;29900.0;ford;f-150;2019;17684.0;michigan;white;2 days left
574;27705.0;ford;f-150;2019;16600.0;michigan;silver;Less than one day left
576;25511.0;ford;f-150;2019;17801.0;michigan;silver;Less than one day left
577;7700.0;chevrolet;colorado;2015;94150.0;pennsylvania;white;2 days left
578;29900.0;ford;f-150;2019;17159.0;michigan;silver;2 days left
579;7200.0;chevrolet;van;2015;80711.0;pennsylvania;white;2 days left
580;27502.0;ford;f-150;2019;17983.0;michigan;red;Less than one day left
582;27402.0;ford;f-150;2019;17851.0;michigan;white;Less than one day left
583;1500.0;chevrolet;sonic;2013;66079.0;pennsylvania;black;Less than one day left
584;26602.0;ford;f-150;2019;18174.0;michigan;white;Less than one day left
585;10200.0;chevrolet;sonic;2019;7654.0;illinois;black;2 days left
586;29900.0;ford;f-150;2019;18759.0;michigan;black;2 days left
587;14000.0;chevrolet;colorado;2019;11564.0;illinois;white;2 days left
588;28500.0;ford;f-150;2019;18901.0;michigan;silver;Less than one day left
590;29809.0;ford;f-150;2019;21157.0;michigan;silver;Less than one day left
591;36900.0;chevrolet;corvette;2015;29937.0;florida;black;Less than one day left
592;26902.0;ford;f-150;2019;23964.0;michigan;white;Less than one day left
594;27402.0;ford;f-150;2019;20154.0;michigan;white;Less than one day left
595;16900.0;acura;mdx;2014;63500.0;florida;silver;1 days left
596;25600.0;ford;f-150;2019;23294.0;michigan;silver;Less than one day left
597;29700.0;bmw;series;2016;24293.0;texas;;1 days left
598;27702.0;ford;f-150;2019;20343.0;michigan;red;Less than one day left
599;13500.0;buick;encore;2016;19655.0;texas;red;Less than one day left
600;27102.0;ford;f-150;2019;19100.0;michigan;white;Less than one day left
601;27102.0;ford;f-150;2019;20014.0;michigan;white;Less than one day left
602;25811.0;ford;f-150;2019;21774.0;michigan;black;Less than one day left
603;26602.0;ford;f-150;2019;21201.0;michigan;white;Less than one day left
604;27102.0;ford;f-150;2019;21766.0;michigan;white;Less than one day left
605;37500.0;buick;enclave;2019;12406.0;wisconsin;gray;Less than one day left
606;26211.0;ford;flex;2019;17977.0;michigan;black;Less than one day left
607;24205.0;ford;flex;2019;22805.0;michigan;silver;2 days left
608;37500.0;cadillac;xt5;2019;16013.0;wisconsin;black;Less than one day left
609;27111.0;ford;flex;2019;14382.0;michigan;black;Less than one day left
610;27411.0;ford;flex;2019;9660.0;michigan;black;Less than one day left
611;27302.0;ford;flex;2019;18969.0;michigan;black;2 days left
612;27202.0;ford;f-150;2019;24730.0;michigan;gray;Less than one day left
613;26311.0;ford;flex;2019;15847.0;michigan;red;Less than one day left
614;26602.0;ford;f-150;2019;25009.0;michigan;white;Less than one day left
615;33500.0;bmw;series;2017;22115.0;wisconsin;black;Less than one day left
616;27511.0;ford;flex;2019;11836.0;michigan;white;Less than one day left
618;27200.0;ford;f-150;2019;25508.0;michigan;silver;Less than one day left
619;26511.0;ford;flex;2019;18196.0;michigan;red;Less than one day left
620;24002.0;ford;flex;2019;16106.0;michigan;gray;2 days left
622;18511.0;ford;fusion;2019;12735.0;michigan;gray;Less than one day left
623;14000.0;kia;sorento;2017;53424.0;connecticut;black;Less than one day left
625;23402.0;ford;flex;2019;17417.0;michigan;gray;2 days left
627;19700.0;bmw;x3;2017;61428.0;wisconsin;black;2 days left
628;23211.0;ford;flex;2019;17025.0;michigan;black;Less than one day left
629;15500.0;kia;sorento;2017;37668.0;connecticut;red;Less than one day left
630;18111.0;ford;fusion;2019;15805.0;michigan;black;Less than one day left
631;21500.0;kia;sorento;2017;43761.0;connecticut;gray;Less than one day left
632;25511.0;ford;mustang;2019;11342.0;michigan;gray;Less than one day left
633;17700.0;chevrolet;equinox;2017;35664.0;wisconsin;black;Less than one day left
634;28000.0;chevrolet;cutaway;2017;12780.0;illinois;white;Less than one day left
638;35500.0;chevrolet;1500;2017;21268.0;wisconsin;;Less than one day left
639;29500.0;chevrolet;1500;2017;31029.0;wisconsin;red;Less than one day left
